gene_name	gene_id
SEL1L	ENSG00000071537
SEM1	ENSG00000127922
UBA52	ENSG00000221983
UBB	ENSG00000170315
UBC	ENSG00000150991
VCP	ENSG00000165280
ABCA10	ENSG00000154263
ABCA2	ENSG00000107331
ABCA5	ENSG00000154265
ABCA6	ENSG00000154262
ABCA7	ENSG00000064687
ABCA9	ENSG00000154258
ABCD2	ENSG00000173208
ABCD3	ENSG00000117528
ABCG1	ENSG00000160179
ABCG4	ENSG00000172350
PEX19	ENSG00000162735
PEX3	ENSG00000034693
ABCA4	ENSG00000198691
ABCA8	ENSG00000141338
ABCB1	ENSG00000085563
ABCB10	ENSG00000135776
ABCB5	ENSG00000004846
ABCB7	ENSG00000131269
ABCB8	ENSG00000197150
ABCB9	ENSG00000150967
ABCC1	ENSG00000103222
ABCC10	ENSG00000124574
ABCC11	ENSG00000121270
ABCC3	ENSG00000108846
ABCC4	ENSG00000125257
ABCC5	ENSG00000114770
ABCF1	ENSG00000204574
EIF2S1	ENSG00000134001
EIF2S2	ENSG00000125977
EIF2S3	ENSG00000130741
ABO	ENSG00000175164
FUT1	ENSG00000174951
FUT2	ENSG00000176920
ADCY1	ENSG00000164742
ADCY2	ENSG00000078295
ADCY3	ENSG00000138031
ADCY4	ENSG00000129467
ADCY5	ENSG00000173175
ADCY6	ENSG00000174233
ADCY7	ENSG00000121281
ADCY8	ENSG00000155897
ADCY9	ENSG00000162104
ADCYAP1	ENSG00000141433
ADCYAP1R1	ENSG00000078549
ADM	ENSG00000148926
ADM2	ENSG00000128165
ADORA2A	ENSG00000128271
ADORA2B	ENSG00000170425
ADRB1	ENSG00000043591
ADRB2	ENSG00000169252
ADRB3	ENSG00000188778
AVP	ENSG00000101200
AVPR2	ENSG00000126895
CALCA	ENSG00000110680
CALCB	ENSG00000175868
CALCR	ENSG00000004948
CALCRL	ENSG00000064989
CGA	ENSG00000135346
CREB1	ENSG00000118260
CRH	ENSG00000147571
CRHR1	ENSG00000120088
CRHR2	ENSG00000106113
CYSLTR2	ENSG00000152207
DRD1	ENSG00000184845
DRD5	ENSG00000169676
FSHB	ENSG00000131808
FSHR	ENSG00000170820
GCG	ENSG00000115263
GHRH	ENSG00000118702
GHRHR	ENSG00000106128
GIP	ENSG00000159224
GIPR	ENSG00000010310
GLP1R	ENSG00000112164
GLP2R	ENSG00000065325
GNAI1	ENSG00000127955
GNAI2	ENSG00000114353
GNAI3	ENSG00000065135
GNAS	ENSG00000087460
GNAT3	ENSG00000214415
GNAZ	ENSG00000128266
GNB1	ENSG00000078369
GNB2	ENSG00000172354
GNB3	ENSG00000111664
GNB4	ENSG00000114450
GNB5	ENSG00000069966
GNG10	ENSG00000242616
GNG11	ENSG00000127920
GNG12	ENSG00000172380
GNG13	ENSG00000127588
GNG2	ENSG00000186469
GNG3	ENSG00000162188
GNG4	ENSG00000168243
GNG5	ENSG00000174021
GNG7	ENSG00000176533
GNG8	ENSG00000167414
GNGT1	ENSG00000127928
GNGT2	ENSG00000167083
GPBAR1	ENSG00000179921
GPHA2	ENSG00000149735
GPHB5	ENSG00000179600
GPR15	ENSG00000154165
GPR150	ENSG00000178015
GPR176	ENSG00000166073
GPR20	ENSG00000204882
GPR25	ENSG00000170128
GPR27	ENSG00000170837
GPR32	ENSG00000142511
GPR39	ENSG00000183840
GPR45	ENSG00000135973
GPR83	ENSG00000123901
GPR84	ENSG00000139572
HRH2	ENSG00000113749
HTR4	ENSG00000164270
HTR6	ENSG00000158748
HTR7	ENSG00000148680
IAPP	ENSG00000121351
IL6	ENSG00000136244
INSL3	ENSG00000248099
LHB	ENSG00000104826
LHCGR	ENSG00000138039
MC1R	ENSG00000258839
MC2R	ENSG00000185231
MC3R	ENSG00000124089
MC4R	ENSG00000166603
MC5R	ENSG00000176136
NPS	ENSG00000214285
NPSR1	ENSG00000187258
P2RY11	ENSG00000244165
POMC	ENSG00000115138
PRKACA	ENSG00000072062
PRKACB	ENSG00000142875
PRKACG	ENSG00000165059
PRKAR1A	ENSG00000108946
PRKAR1B	ENSG00000188191
PRKAR2A	ENSG00000114302
PRKAR2B	ENSG00000005249
PRKX	ENSG00000183943
PTGDR	ENSG00000168229
PTGER2	ENSG00000125384
PTGER4	ENSG00000171522
PTGIR	ENSG00000160013
PTH	ENSG00000152266
PTH1R	ENSG00000160801
PTH2	ENSG00000142538
PTH2R	ENSG00000144407
PTHLH	ENSG00000087494
RAMP1	ENSG00000132329
RAMP2	ENSG00000131477
RAMP3	ENSG00000122679
RLN2	ENSG00000107014
RLN3	ENSG00000171136
RXFP1	ENSG00000171509
RXFP2	ENSG00000133105
SCT	ENSG00000070031
SCTR	ENSG00000080293
TAAR1	ENSG00000146399
TAAR2	ENSG00000146378
TAAR5	ENSG00000135569
TAAR6	ENSG00000146383
TAAR8	ENSG00000146385
TAAR9	ENSG00000237110
TSHB	ENSG00000134200
TSHR	ENSG00000165409
VIP	ENSG00000146469
VIPR1	ENSG00000114812
VIPR2	ENSG00000106018
GNA11	ENSG00000088256
GNA14	ENSG00000156049
GNA15	ENSG00000060558
GNAQ	ENSG00000156052
MAPK14	ENSG00000112062
P2RY1	ENSG00000169860
PLA2G4A	ENSG00000116711
SRC	ENSG00000197122
P2RY12	ENSG00000169313
AKT1	ENSG00000142208
AKT1S1	ENSG00000204673
AKT2	ENSG00000105221
AKT3	ENSG00000117020
BAD	ENSG00000002330
CASP9	ENSG00000132906
CDKN1A	ENSG00000124762
CDKN1B	ENSG00000111276
CHUK	ENSG00000213341
GSK3A	ENSG00000105723
GSK3B	ENSG00000082701
MDM2	ENSG00000135679
MKRN1	ENSG00000133606
TSC2	ENSG00000103197
FOXO1	ENSG00000150907
FOXO3	ENSG00000118689
FOXO4	ENSG00000184481
FOXO6	ENSG00000204060
NR4A1	ENSG00000123358
RPS6KB2	ENSG00000175634
ALKBH2	ENSG00000189046
ALKBH3	ENSG00000166199
ASCC1	ENSG00000138303
ASCC2	ENSG00000100325
ASCC3	ENSG00000112249
ADIPOQ	ENSG00000181092
ADIPOR1	ENSG00000159346
ADIPOR2	ENSG00000006831
MLXIPL	ENSG00000009950
PRKAA2	ENSG00000162409
PRKAB2	ENSG00000131791
PRKAG2	ENSG00000106617
STK11	ENSG00000118046
APC	ENSG00000134982
AMER1	ENSG00000184675
AXIN1	ENSG00000103126
CSNK1A1	ENSG00000113712
PPP2CA	ENSG00000113575
PPP2CB	ENSG00000104695
PPP2R1A	ENSG00000105568
PPP2R1B	ENSG00000137713
PPP2R5A	ENSG00000066027
PPP2R5B	ENSG00000068971
PPP2R5C	ENSG00000078304
PPP2R5D	ENSG00000112640
PPP2R5E	ENSG00000154001
ANAPC1	ENSG00000153107
ANAPC10	ENSG00000164162
ANAPC11	ENSG00000141552
ANAPC15	ENSG00000110200
ANAPC16	ENSG00000166295
ANAPC2	ENSG00000176248
ANAPC4	ENSG00000053900
ANAPC5	ENSG00000089053
ANAPC7	ENSG00000196510
BUB1B	ENSG00000156970
BUB3	ENSG00000154473
CDC16	ENSG00000130177
CDC20	ENSG00000117399
CDC23	ENSG00000094880
CDC26	ENSG00000176386
CDC27	ENSG00000004897
MAD2L1	ENSG00000164109
NEK2	ENSG00000117650
UBE2C	ENSG00000175063
UBE2D1	ENSG00000072401
UBE2E1	ENSG00000170142
UBE2S	ENSG00000108106
AURKA	ENSG00000087586
AURKB	ENSG00000178999
BTRC	ENSG00000166167
CCNA1	ENSG00000133101
CCNA2	ENSG00000145386
CCNB1	ENSG00000134057
CDC14A	ENSG00000079335
CDK1	ENSG00000170312
CDK2	ENSG00000123374
CUL1	ENSG00000055130
FBXO5	ENSG00000112029
FZR1	ENSG00000105325
PLK1	ENSG00000166851
PTTG1	ENSG00000164611
RB1	ENSG00000139687
SKP1	ENSG00000113558
SKP2	ENSG00000145604
LIG3	ENSG00000005156
NEIL1	ENSG00000140398
NEIL2	ENSG00000154328
OGG1	ENSG00000114026
PNKP	ENSG00000039650
POLB	ENSG00000070501
XRCC1	ENSG00000073050
APOBEC3G	ENSG00000239713
PPIA	ENSG00000196262
ARL13B	ENSG00000169379
INPP5E	ENSG00000148384
PDE6D	ENSG00000156973
BRAF	ENSG00000157764
CRK	ENSG00000167193
KIDINS220	ENSG00000134313
NGF	ENSG00000134259
NTRK1	ENSG00000198400
RAP1A	ENSG00000116473
YWHAB	ENSG00000166913
ASNS	ENSG00000070669
ATF3	ENSG00000162772
ATF4	ENSG00000128272
ATF6	ENSG00000118217
CCL2	ENSG00000108691
CEBPB	ENSG00000172216
CEBPG	ENSG00000153879
CXCL8	ENSG00000169429
DCP2	ENSG00000172795
DDIT3	ENSG00000175197
DIS3	ENSG00000083520
EXOSC1	ENSG00000171311
EXOSC2	ENSG00000130713
EXOSC3	ENSG00000107371
EXOSC4	ENSG00000178896
EXOSC5	ENSG00000077348
EXOSC6	ENSG00000223496
EXOSC7	ENSG00000075914
EXOSC8	ENSG00000120699
EXOSC9	ENSG00000123737
HERPUD1	ENSG00000051108
IGFBP1	ENSG00000146678
KHSRP	ENSG00000088247
NFYA	ENSG00000001167
NFYB	ENSG00000120837
NFYC	ENSG00000066136
PARN	ENSG00000140694
CALR	ENSG00000179218
HSP90B1	ENSG00000166598
HSPA5	ENSG00000044574
XBP1	ENSG00000100219
MBTPS1	ENSG00000140943
MBTPS2	ENSG00000012174
KCNJ8	ENSG00000121361
EIF4G1	ENSG00000114867
HNRNPD	ENSG00000138668
HSPA1A	ENSG00000204389
HSPA8	ENSG00000109971
HSPB1	ENSG00000106211
PABPC1	ENSG00000070756
ACTR1A	ENSG00000138107
AKAP9	ENSG00000127914
ALMS1	ENSG00000116127
CCP110	ENSG00000103540
CDK5RAP2	ENSG00000136861
CENPJ	ENSG00000151849
CEP131	ENSG00000141577
CEP135	ENSG00000174799
CEP152	ENSG00000103995
CEP164	ENSG00000110274
CEP192	ENSG00000101639
CEP250	ENSG00000126001
CEP290	ENSG00000198707
CEP41	ENSG00000106477
CEP43	ENSG00000213066
CEP57	ENSG00000166037
CEP63	ENSG00000182923
CEP70	ENSG00000114107
CEP72	ENSG00000112877
CEP76	ENSG00000101624
CEP78	ENSG00000148019
CETN2	ENSG00000147400
CKAP5	ENSG00000175216
CLASP1	ENSG00000074054
CNTRL	ENSG00000119397
CSNK1D	ENSG00000141551
CSNK1E	ENSG00000213923
DCTN1	ENSG00000204843
DCTN2	ENSG00000175203
DCTN3	ENSG00000137100
DYNC1H1	ENSG00000197102
DYNC1I2	ENSG00000077380
DYNLL1	ENSG00000088986
HAUS1	ENSG00000152240
HAUS2	ENSG00000137814
HAUS3	ENSG00000214367
HAUS4	ENSG00000092036
HAUS5	ENSG00000249115
HAUS6	ENSG00000147874
HAUS7	ENSG00000213397
HAUS8	ENSG00000131351
HMMR	ENSG00000072571
HSP90AA1	ENSG00000080824
MAPRE1	ENSG00000101367
NDE1	ENSG00000072864
NEDD1	ENSG00000139350
NINL	ENSG00000101004
ODF2	ENSG00000136811
OFD1	ENSG00000046651
PAFAH1B1	ENSG00000007168
PCM1	ENSG00000078674
PCNT	ENSG00000160299
PLK4	ENSG00000142731
SDCCAG8	ENSG00000054282
SFI1	ENSG00000198089
SSNA1	ENSG00000176101
TPX2	ENSG00000088325
TUBA1A	ENSG00000167552
TUBA4A	ENSG00000127824
TUBB	ENSG00000196230
TUBB4A	ENSG00000104833
TUBB4B	ENSG00000188229
TUBG1	ENSG00000131462
YWHAE	ENSG00000108953
YWHAG	ENSG00000170027
ADAL	ENSG00000168803
ADH1A	ENSG00000187758
GUK1	ENSG00000143774
NT5C2	ENSG00000076685
PCK1	ENSG00000124253
ABCG2	ENSG00000118777
SLC22A1	ENSG00000175003
SLC22A2	ENSG00000112499
SLC22A3	ENSG00000146477
APEX1	ENSG00000100823
CCND1	ENSG00000110092
CCND2	ENSG00000118971
CCND3	ENSG00000112576
CCNE1	ENSG00000105173
CCNE2	ENSG00000175305
CDK4	ENSG00000135446
CDK6	ENSG00000105810
CDKN1C	ENSG00000129757
E2F1	ENSG00000101412
E2F2	ENSG00000007968
E2F3	ENSG00000112242
TFDP1	ENSG00000198176
TFDP2	ENSG00000114126
IDH1	ENSG00000138413
CTDP1	ENSG00000060069
GTF2F1	ENSG00000125651
GTF2F2	ENSG00000188342
NCBP1	ENSG00000136937
NCBP2	ENSG00000114503
NELFA	ENSG00000185049
NELFB	ENSG00000188986
NELFCD	ENSG00000101158
NELFE	ENSG00000204356
POLR2A	ENSG00000181222
POLR2B	ENSG00000047315
POLR2C	ENSG00000102978
POLR2D	ENSG00000144231
POLR2E	ENSG00000099817
POLR2F	ENSG00000100142
POLR2G	ENSG00000168002
POLR2H	ENSG00000163882
POLR2I	ENSG00000105258
POLR2J	ENSG00000005075
POLR2K	ENSG00000147669
POLR2L	ENSG00000177700
SUPT4H1	ENSG00000213246
SUPT5H	ENSG00000196235
NAT1	ENSG00000171428
NAT2	ENSG00000156006
CHAT	ENSG00000070748
CPLX1	ENSG00000168993
PPFIA1	ENSG00000131626
PPFIA2	ENSG00000139220
PPFIA3	ENSG00000177380
PPFIA4	ENSG00000143847
RAB3A	ENSG00000105649
RIMS1	ENSG00000079841
SLC18A3	ENSG00000187714
SLC5A7	ENSG00000115665
SNAP25	ENSG00000132639
STX1A	ENSG00000106089
STXBP1	ENSG00000136854
SYT1	ENSG00000067715
TSPOAP1	ENSG00000005379
UNC13B	ENSG00000198722
VAMP2	ENSG00000220205
CHRNA1	ENSG00000138435
CHRNA2	ENSG00000120903
CHRNA3	ENSG00000080644
CHRNA4	ENSG00000101204
CHRNA5	ENSG00000169684
CHRNA6	ENSG00000147434
CHRNA7	ENSG00000175344
CHRNA9	ENSG00000174343
CHRNB2	ENSG00000160716
CHRNB3	ENSG00000147432
CHRNB4	ENSG00000117971
CHRND	ENSG00000135902
CHRNE	ENSG00000108556
CHRNG	ENSG00000196811
CHRNA10	ENSG00000129749
KCNMA1	ENSG00000156113
KCNMB1	ENSG00000145936
KCNN2	ENSG00000080709
CHRM3	ENSG00000133019
MARCKS	ENSG00000277443
PLCB1	ENSG00000182621
PLCB2	ENSG00000137841
PLCB3	ENSG00000149782
PRKCA	ENSG00000154229
ACR	ENSG00000100312
CD9	ENSG00000010278
IZUMO1	ENSG00000182264
IZUMO2	ENSG00000161652
IZUMO3	ENSG00000205442
IZUMO4	ENSG00000099840
ADAM10	ENSG00000137845
ADAM17	ENSG00000151694
APH1A	ENSG00000117362
APH1B	ENSG00000138613
ARRB1	ENSG00000137486
ARRB2	ENSG00000141480
CNTN1	ENSG00000018236
DLK1	ENSG00000185559
DLL1	ENSG00000198719
DLL4	ENSG00000128917
DNER	ENSG00000187957
DTX1	ENSG00000135144
DTX2	ENSG00000091073
DTX4	ENSG00000110042
ITCH	ENSG00000078747
JAG1	ENSG00000101384
JAG2	ENSG00000184916
MIB1	ENSG00000101752
MIB2	ENSG00000197530
NCSTN	ENSG00000162736
NEURL1	ENSG00000107954
NEURL1B	ENSG00000214357
NOTCH1	ENSG00000148400
NUMB	ENSG00000133961
PSEN1	ENSG00000080815
PSEN2	ENSG00000143801
PSENEN	ENSG00000205155
BDNF	ENSG00000176697
CDK5	ENSG00000164885
CDK5R1	ENSG00000176749
NTRK2	ENSG00000148053
RAC1	ENSG00000136238
TIAM1	ENSG00000156299
FRS2	ENSG00000166225
FRS3	ENSG00000137218
GRB2	ENSG00000177885
HRAS	ENSG00000174775
KRAS	ENSG00000133703
NRAS	ENSG00000213281
NTF4	ENSG00000225950
PTPN11	ENSG00000179295
SOS1	ENSG00000115904
DOCK3	ENSG00000088538
FYN	ENSG00000010810
GRIN2B	ENSG00000273079
GAB1	ENSG00000109458
PIK3CA	ENSG00000121879
PIK3R1	ENSG00000145675
PLCG1	ENSG00000124181
SHC1	ENSG00000160691
IRS1	ENSG00000169047
NTF3	ENSG00000185652
NTRK3	ENSG00000140538
AR	ENSG00000169083
H2AB1	ENSG00000274183
H2AC14	ENSG00000276368
H2AC18	ENSG00000203812
H2AC20	ENSG00000184260
H2AC4	ENSG00000278463
H2AC6	ENSG00000180573
H2AC7	ENSG00000196866
H2AJ	ENSG00000246705
H2AZ1	ENSG00000164032
H2AZ2	ENSG00000105968
H2BC1	ENSG00000146047
H2BC11	ENSG00000124635
H2BC12	ENSG00000197903
H2BC13	ENSG00000185130
H2BC14	ENSG00000273703
H2BC15	ENSG00000233822
H2BC17	ENSG00000274641
H2BC21	ENSG00000184678
H2BC3	ENSG00000276410
H2BC4	ENSG00000180596
H2BC5	ENSG00000158373
H2BC9	ENSG00000275713
H2BS1	ENSG00000234289
H2BU1	ENSG00000196890
H3-3A	ENSG00000163041
H3C1	ENSG00000275714
H3C15	ENSG00000203852
H4C1	ENSG00000278637
KDM1A	ENSG00000004487
KDM4C	ENSG00000107077
KLK2	ENSG00000167751
KLK3	ENSG00000142515
NCOA2	ENSG00000140396
PKN1	ENSG00000123143
FGF1	ENSG00000113578
FGF10	ENSG00000070193
FGF16	ENSG00000196468
FGF17	ENSG00000158815
FGF18	ENSG00000156427
FGF2	ENSG00000138685
FGF20	ENSG00000078579
FGF22	ENSG00000070388
FGF23	ENSG00000118972
FGF3	ENSG00000186895
FGF4	ENSG00000075388
FGF5	ENSG00000138675
FGF6	ENSG00000111241
FGF7	ENSG00000140285
FGF8	ENSG00000107831
FGF9	ENSG00000102678
FGFR2	ENSG00000066468
BAK1	ENSG00000030110
BID	ENSG00000015475
PDPK1	ENSG00000140992
THEM4	ENSG00000159445
TRIB3	ENSG00000101255
GRIA1	ENSG00000155511
GRIA2	ENSG00000120251
GRIA3	ENSG00000125675
GRIA4	ENSG00000152578
CALM1	ENSG00000198668
CAMKK2	ENSG00000110931
MAPT	ENSG00000186868
PRKAA1	ENSG00000132356
PRKAB1	ENSG00000111725
PRKAG1	ENSG00000181929
PRKAG3	ENSG00000115592
ATR	ENSG00000175054
ATRIP	ENSG00000164053
CDC25A	ENSG00000164045
CDC25C	ENSG00000158402
CDC45	ENSG00000093009
CDC6	ENSG00000094804
CDC7	ENSG00000097046
CHEK1	ENSG00000149554
CLSPN	ENSG00000092853
DBF4	ENSG00000006634
HUS1	ENSG00000136273
MCM10	ENSG00000065328
MCM2	ENSG00000073111
MCM3	ENSG00000112118
MCM4	ENSG00000104738
MCM5	ENSG00000100297
MCM6	ENSG00000076003
MCM7	ENSG00000166508
MCM8	ENSG00000125885
ORC1	ENSG00000085840
ORC2	ENSG00000115942
ORC3	ENSG00000135336
ORC4	ENSG00000115947
ORC5	ENSG00000164815
ORC6	ENSG00000091651
RAD1	ENSG00000113456
RAD17	ENSG00000152942
RAD9A	ENSG00000172613
RAD9B	ENSG00000151164
RFC2	ENSG00000049541
RFC3	ENSG00000133119
RFC4	ENSG00000163918
RFC5	ENSG00000111445
RPA1	ENSG00000132383
RPA2	ENSG00000117748
RPA3	ENSG00000106399
BCL2	ENSG00000171791
PPP3CC	ENSG00000120910
PPP3R1	ENSG00000221823
SFN	ENSG00000175793
YWHAH	ENSG00000128245
YWHAQ	ENSG00000134308
YWHAZ	ENSG00000164924
BBC3	ENSG00000105327
BCL2L11	ENSG00000153094
BMF	ENSG00000104081
DYNLL2	ENSG00000264364
MAPK8	ENSG00000107643
PMAIP1	ENSG00000141682
PPP1R13B	ENSG00000088808
TP53	ENSG00000141510
TP53BP2	ENSG00000143514
TP63	ENSG00000073282
TP73	ENSG00000078900
C2	ENSG00000166278
C3	ENSG00000125730
C4A	ENSG00000244731
C4B	ENSG00000224389
C5	ENSG00000106804
CFB	ENSG00000243649
DLG1	ENSG00000075711
DLG3	ENSG00000082458
DLG4	ENSG00000132535
GRIK1	ENSG00000171189
GRIK2	ENSG00000164418
GRIK3	ENSG00000163873
GRIK4	ENSG00000149403
GRIK5	ENSG00000105737
NCALD	ENSG00000104490
GABBR1	ENSG00000204681
GABBR2	ENSG00000136928
KCNJ10	ENSG00000177807
KCNJ12	ENSG00000184185
KCNJ15	ENSG00000157551
KCNJ16	ENSG00000153822
KCNJ2	ENSG00000123700
KCNJ3	ENSG00000162989
KCNJ4	ENSG00000168135
KCNJ5	ENSG00000120457
KCNJ6	ENSG00000157542
KCNJ9	ENSG00000162728
GNAL	ENSG00000141404
AJUBA	ENSG00000129474
ASH2L	ENSG00000129691
CNOT6	ENSG00000113300
CREBBP	ENSG00000005339
CTCF	ENSG00000102974
EED	ENSG00000074266
EGR2	ENSG00000122877
EP300	ENSG00000100393
EZH2	ENSG00000106462
HDAC3	ENSG00000171720
HOXA1	ENSG00000105991
HOXA2	ENSG00000105996
HOXA3	ENSG00000105997
HOXA4	ENSG00000197576
HOXB1	ENSG00000120094
HOXB2	ENSG00000173917
HOXB3	ENSG00000120093
HOXB4	ENSG00000182742
HOXC4	ENSG00000198353
HOXD1	ENSG00000128645
HOXD3	ENSG00000128652
HOXD4	ENSG00000170166
JUN	ENSG00000177606
KDM6A	ENSG00000147050
KMT2C	ENSG00000055609
KMT2D	ENSG00000167548
MAFB	ENSG00000204103
MEIS1	ENSG00000143995
NCOA3	ENSG00000124151
NCOA6	ENSG00000198646
NCOR1	ENSG00000141027
PAGR1	ENSG00000280789
PAX6	ENSG00000007372
PAXIP1	ENSG00000157212
PBX1	ENSG00000185630
PCGF2	ENSG00000277258
PIAS2	ENSG00000078043
PKNOX1	ENSG00000160199
RARA	ENSG00000131759
RARB	ENSG00000077092
RARG	ENSG00000172819
RBBP4	ENSG00000162521
RBBP5	ENSG00000117222
RBBP7	ENSG00000102054
RXRA	ENSG00000186350
SUZ12	ENSG00000178691
WDR5	ENSG00000196363
YY1	ENSG00000100811
ZNF335	ENSG00000198026
CD14	ENSG00000170458
IKBKE	ENSG00000263528
IRF3	ENSG00000126456
IRF7	ENSG00000185507
LY96	ENSG00000154589
SARM1	ENSG00000004139
TANK	ENSG00000136560
TBK1	ENSG00000183735
TICAM1	ENSG00000127666
TICAM2	ENSG00000243414
TLR4	ENSG00000136869
TRAF3	ENSG00000131323
CMA1	ENSG00000092009
COL18A1	ENSG00000182871
CTRB1	ENSG00000168925
CTRB2	ENSG00000168928
CTSG	ENSG00000100448
CTSK	ENSG00000143387
CTSV	ENSG00000136943
ELANE	ENSG00000197561
FURIN	ENSG00000140564
KLKB1	ENSG00000164344
MMP1	ENSG00000196611
MMP10	ENSG00000166670
MMP11	ENSG00000099953
MMP13	ENSG00000137745
MMP14	ENSG00000157227
MMP15	ENSG00000102996
MMP16	ENSG00000156103
MMP17	ENSG00000198598
MMP2	ENSG00000087245
MMP24	ENSG00000125966
MMP25	ENSG00000008516
MMP3	ENSG00000149968
MMP7	ENSG00000137673
MMP8	ENSG00000118113
MMP9	ENSG00000100985
PLG	ENSG00000122194
PRSS1	ENSG00000204983
PRSS2	ENSG00000275896
SPOCK3	ENSG00000196104
TIMP1	ENSG00000102265
TIMP2	ENSG00000035862
TPSAB1	ENSG00000172236
BCL10	ENSG00000142867
CARD11	ENSG00000198286
FBXW11	ENSG00000072803
IKBKB	ENSG00000104365
IKBKG	ENSG00000269335
MALT1	ENSG00000172175
MAP3K7	ENSG00000135341
NFKB1	ENSG00000109320
NFKBIA	ENSG00000100906
NFKBIB	ENSG00000104825
NFKBIE	ENSG00000146232
PRKCB	ENSG00000166501
REL	ENSG00000162924
RELA	ENSG00000173039
CCNB2	ENSG00000157456
NEK6	ENSG00000119408
NEK7	ENSG00000151414
NEK9	ENSG00000119638
ACTN2	ENSG00000077522
APBA1	ENSG00000107282
ARHGEF7	ENSG00000102606
CAMK1	ENSG00000134072
CAMK2A	ENSG00000070808
CAMK2B	ENSG00000058404
CAMK2D	ENSG00000145349
CAMK2G	ENSG00000148660
CAMK4	ENSG00000152495
CAMKK1	ENSG00000004660
CASK	ENSG00000147044
DLG2	ENSG00000150672
ERBB4	ENSG00000178568
GIT1	ENSG00000108262
GRIN1	ENSG00000176884
GRIN2A	ENSG00000183454
GRIN2C	ENSG00000161509
GRIN2D	ENSG00000105464
GRIN3A	ENSG00000198785
GRIN3B	ENSG00000116032
KIF17	ENSG00000117245
KPNA2	ENSG00000182481
LIN7A	ENSG00000111052
LIN7B	ENSG00000104863
LIN7C	ENSG00000148943
LRRC7	ENSG00000033122
MAPK1	ENSG00000100030
MAPK3	ENSG00000102882
NBEA	ENSG00000172915
NEFL	ENSG00000277586
NRG1	ENSG00000157168
NRGN	ENSG00000154146
PPM1E	ENSG00000175175
PPM1F	ENSG00000100034
RASGRF1	ENSG00000058335
RASGRF2	ENSG00000113319
RPS6KA1	ENSG00000117676
RPS6KA2	ENSG00000071242
RPS6KA3	ENSG00000177189
RPS6KA6	ENSG00000072133
