gene_id	gene_name
ENSG00000179600	GPHB5
ENSG00000143319	ISG20L2
ENSG00000144597	EAF1
ENSG00000008056	SYN1
ENSG00000138829	FBN2
ENSG00000183011	NAA38
ENSG00000072422	RHOBTB1
ENSG00000137825	ITPKA
ENSG00000184983	NDUFA6
ENSG00000012061	ERCC1
ENSG00000091622	PITPNM3
ENSG00000114353	GNAI2
ENSG00000100105	PATZ1
ENSG00000171873	ADRA1D
ENSG00000134686	PHC2
ENSG00000227124	ZNF717
ENSG00000164161	HHIP
ENSG00000089094	KDM2B
ENSG00000167658	EEF2
ENSG00000179695	OR6C2
ENSG00000142408	CACNG8
ENSG00000005381	MPO
ENSG00000169385	RNASE2
ENSG00000197125	OR8B8
ENSG00000135447	PPP1R1A
ENSG00000039650	PNKP
ENSG00000135625	EGR4
ENSG00000148606	POLR3A
ENSG00000116649	SRM
ENSG00000181788	SIAH2
ENSG00000133789	SWAP70
ENSG00000134294	SLC38A2
ENSG00000139278	GLIPR1
ENSG00000171056	SOX7
ENSG00000176788	BASP1
ENSG00000182771	GRID1
ENSG00000196220	SRGAP3
ENSG00000111142	METAP2
ENSG00000198804	MT-CO1
ENSG00000231852	CYP21A2
ENSG00000176695	OR4F17
ENSG00000123485	HJURP
ENSG00000100024	UPB1
ENSG00000125510	OPRL1
ENSG00000129675	ARHGEF6
ENSG00000164627	KIF6
ENSG00000143494	VASH2
ENSG00000198315	ZKSCAN8
ENSG00000073861	TBX21
ENSG00000113721	PDGFRB
ENSG00000163734	CXCL3
ENSG00000168438	CDC40
ENSG00000223572	CKMT1A
ENSG00000089053	ANAPC5
ENSG00000129596	CDO1
ENSG00000080371	RAB21
ENSG00000171459	OR1L6
ENSG00000121289	CEP89
ENSG00000004975	DVL2
ENSG00000133275	CSNK1G2
ENSG00000165168	CYBB
ENSG00000196119	OR8A1
ENSG00000136842	TMOD1
ENSG00000276023	DUSP14
ENSG00000102218	RP2
ENSG00000124370	MCEE
ENSG00000157557	ETS2
ENSG00000111371	SLC38A1
ENSG00000123572	NRK
ENSG00000254834	OR5M10
ENSG00000157766	ACAN
ENSG00000126261	UBA2
ENSG00000277462	ZNF670
ENSG00000054523	KIF1B
ENSG00000140463	BBS4
ENSG00000113296	THBS4
ENSG00000072201	LNX1
ENSG00000255072	PIGY
ENSG00000121236	TRIM6
ENSG00000204103	MAFB
ENSG00000072401	UBE2D1
ENSG00000131475	VPS25
ENSG00000197442	MAP3K5
ENSG00000187837	H1-2
ENSG00000166136	NDUFB8
ENSG00000188321	ZNF559
ENSG00000243649	CFB
ENSG00000101444	AHCY
ENSG00000261371	PECAM1
ENSG00000179626	OR6C4
ENSG00000110713	NUP98
ENSG00000132912	DCTN4
ENSG00000156873	PHKG2
ENSG00000172936	MYD88
ENSG00000166337	TAF10
ENSG00000003987	MTMR7
ENSG00000140853	NLRC5
ENSG00000178573	MAF
ENSG00000173848	NET1
ENSG00000175063	UBE2C
ENSG00000084207	GSTP1
ENSG00000087074	PPP1R15A
ENSG00000159479	MED8
ENSG00000196344	ADH7
ENSG00000137135	ARHGEF39
ENSG00000167600	CYP2S1
ENSG00000203811	H3C14
ENSG00000171450	CDK5R2
ENSG00000164985	PSIP1
ENSG00000114650	SCAP
ENSG00000074219	TEAD2
ENSG00000177106	EPS8L2
ENSG00000239975	IGKV1D-33
ENSG00000196734	LCE1B
ENSG00000117533	VAMP4
ENSG00000183023	SLC8A1
ENSG00000077238	IL4R
ENSG00000114124	GRK7
ENSG00000122375	OPN4
ENSG00000169692	AGPAT2
ENSG00000100151	PICK1
ENSG00000115750	TAF1B
ENSG00000001461	NIPAL3
ENSG00000101751	POLI
ENSG00000139722	VPS37B
ENSG00000100889	PCK2
ENSG00000099800	TIMM13
ENSG00000163947	ARHGEF3
ENSG00000184787	UBE2G2
ENSG00000137070	IL11RA
ENSG00000155660	PDIA4
ENSG00000113161	HMGCR
ENSG00000198286	CARD11
ENSG00000121634	GJA8
ENSG00000110048	OSBP
ENSG00000224760	C1DP3
ENSG00000137869	CYP19A1
ENSG00000171777	RASGRP4
ENSG00000136697	IL1F10
ENSG00000130202	NECTIN2
ENSG00000100997	ABHD12
ENSG00000095777	MYO3A
ENSG00000255587	RAB44
ENSG00000198848	CES1
ENSG00000196655	TRAPPC4
ENSG00000138081	FBXO11
ENSG00000175643	RMI2
ENSG00000186017	ZNF566
ENSG00000130338	TULP4
ENSG00000137834	SMAD6
ENSG00000143375	CGN
ENSG00000187714	SLC18A3
ENSG00000175322	ZNF519
ENSG00000187173	LCE2A
ENSG00000153786	ZDHHC7
ENSG00000105372	RPS19
ENSG00000100665	SERPINA4
ENSG00000125743	SNRPD2
ENSG00000180304	OAZ2
ENSG00000125629	INSIG2
ENSG00000108691	CCL2
ENSG00000168542	COL3A1
ENSG00000033178	UBA6
ENSG00000141644	MBD1
ENSG00000184140	OR4F6
ENSG00000128519	TAS2R16
ENSG00000006210	CX3CL1
ENSG00000021355	SERPINB1
ENSG00000203805	PLPP4
ENSG00000196150	ZNF250
ENSG00000123500	COL10A1
ENSG00000239388	ASB14
ENSG00000106631	MYL7
ENSG00000104312	RIPK2
ENSG00000124205	EDN3
ENSG00000080644	CHRNA3
ENSG00000142528	ZNF473
ENSG00000172817	CYP7B1
ENSG00000127946	HIP1
ENSG00000155850	SLC26A2
ENSG00000198780	FAM169A
ENSG00000139631	CSAD
ENSG00000040608	RTN4R
ENSG00000154007	ASB17
ENSG00000198965	OR10R2
ENSG00000198515	CNGA1
ENSG00000145192	AHSG
ENSG00000196715	VKORC1L1
ENSG00000173175	ADCY5
ENSG00000117400	MPL
ENSG00000169228	RAB24
ENSG00000188488	SERPINA5
ENSG00000108443	RPS6KB1
ENSG00000086696	HSD17B2
ENSG00000213760	ATP6V1G2
ENSG00000159593	NAE1
ENSG00000123353	ORMDL2
ENSG00000258817	OR4C13
ENSG00000113456	RAD1
ENSG00000140057	AK7
ENSG00000106261	ZKSCAN1
ENSG00000214160	ALG3
ENSG00000221988	PPT2
ENSG00000144644	GADL1
ENSG00000197619	ZNF615
ENSG00000116711	PLA2G4A
ENSG00000080293	SCTR
ENSG00000129824	RPS4Y1
ENSG00000130703	OSBPL2
ENSG00000171792	RHNO1
ENSG00000197747	S100A10
ENSG00000196705	ZNF431
ENSG00000122034	GTF3A
ENSG00000180884	ZNF792
ENSG00000137218	FRS3
ENSG00000198342	ZNF442
ENSG00000111817	DSE
ENSG00000099953	MMP11
ENSG00000164935	DCSTAMP
ENSG00000115275	MOGS
ENSG00000172977	KAT5
ENSG00000198075	SULT1C4
ENSG00000173599	PC
ENSG00000111671	SPSB2
ENSG00000149679	CABLES2
ENSG00000178295	GEN1
ENSG00000196778	OR52K1
ENSG00000135596	MICAL1
ENSG00000182585	EPGN
ENSG00000105679	GAPDHS
ENSG00000065609	SNAP91
ENSG00000182652	OR4Q3
ENSG00000186298	PPP1CC
ENSG00000143278	F13B
ENSG00000131584	ACAP3
ENSG00000149506	ZP1
ENSG00000170962	PDGFD
ENSG00000166398	GARRE1
ENSG00000183878	UTY
ENSG00000204475	NCR3
ENSG00000198727	MT-CYB
ENSG00000251546	IGKV1D-39
ENSG00000048544	MRPS10
ENSG00000162727	OR2M5
ENSG00000110911	SLC11A2
ENSG00000124232	RBPJL
ENSG00000148795	CYP17A1
ENSG00000186204	CYP4F12
ENSG00000123610	TNFAIP6
ENSG00000172379	ARNT2
ENSG00000166200	COPS2
ENSG00000101440	ASIP
ENSG00000177613	CSTF2T
ENSG00000081014	AP4E1
ENSG00000198183	BPIFA1
ENSG00000130340	SNX9
ENSG00000164741	DLC1
ENSG00000213906	LTB4R2
ENSG00000169764	UGP2
ENSG00000171885	AQP4
ENSG00000187164	SHTN1
ENSG00000204104	TRAF3IP1
ENSG00000106003	LFNG
ENSG00000197580	BCO2
ENSG00000135094	SDS
ENSG00000121594	CD80
ENSG00000106803	SEC61B
ENSG00000165684	SNAPC4
ENSG00000105656	ELL
ENSG00000137574	TGS1
ENSG00000171903	CYP4F11
ENSG00000138115	CYP2C8
ENSG00000131238	PPT1
ENSG00000101890	GUCY2F
ENSG00000101327	PDYN
ENSG00000175787	ZNF169
ENSG00000006534	ALDH3B1
ENSG00000072840	EVC
ENSG00000168237	GLYCTK
ENSG00000133116	KL
ENSG00000077080	ACTL6B
ENSG00000160013	PTGIR
ENSG00000154146	NRGN
ENSG00000221880	KRTAP1-3
ENSG00000181789	COPG1
ENSG00000013375	PGM3
ENSG00000133111	RFXAP
ENSG00000110203	FOLR3
ENSG00000185467	KPNA7
ENSG00000118689	FOXO3
ENSG00000105245	NUMBL
ENSG00000130956	HABP4
ENSG00000084676	NCOA1
ENSG00000135821	GLUL
ENSG00000143224	PPOX
ENSG00000141540	TTYH2
ENSG00000130208	APOC1
ENSG00000075131	TIPIN
ENSG00000012817	KDM5D
ENSG00000171298	GAA
ENSG00000144821	MYH15
ENSG00000124422	USP22
ENSG00000071655	MBD3
ENSG00000137221	TJAP1
ENSG00000075785	RAB7A
ENSG00000187736	NHEJ1
ENSG00000172296	SPTLC3
ENSG00000196517	SLC6A9
ENSG00000085563	ABCB1
ENSG00000135476	ESPL1
ENSG00000170946	DNAJC24
ENSG00000173214	MFSD4B
ENSG00000106012	IQCE
ENSG00000073584	SMARCE1
ENSG00000143333	RGS16
ENSG00000074695	LMAN1
ENSG00000186111	PIP5K1C
ENSG00000115221	ITGB6
ENSG00000113575	PPP2CA
ENSG00000115009	CCL20
ENSG00000169231	THBS3
ENSG00000254997	KRTAP5-9
ENSG00000148175	STOM
ENSG00000213648	SULT1A4
ENSG00000119772	DNMT3A
ENSG00000134061	CD180
ENSG00000180720	CHRM4
ENSG00000094841	UPRT
ENSG00000086205	FOLH1
ENSG00000165672	PRDX3
ENSG00000115211	EIF2B4
ENSG00000110799	VWF
ENSG00000164808	SPIDR
ENSG00000168925	CTRB1
ENSG00000101680	LAMA1
ENSG00000139641	ESYT1
ENSG00000163636	PSMD6
ENSG00000137745	MMP13
ENSG00000112394	SLC16A10
ENSG00000186860	KRTAP17-1
ENSG00000059377	TBXAS1
ENSG00000197780	TAF13
ENSG00000135940	COX5B
ENSG00000221931	OR6X1
ENSG00000205060	SLC35B4
ENSG00000090060	PAPOLA
ENSG00000163993	S100P
ENSG00000140798	ABCC12
ENSG00000100028	SNRPD3
ENSG00000078668	VDAC3
ENSG00000170502	NUDT9
ENSG00000167723	TRPV3
ENSG00000175216	CKAP5
ENSG00000269699	ZIM2
ENSG00000105568	PPP2R1A
ENSG00000113946	CLDN16
ENSG00000111642	CHD4
ENSG00000073282	TP63
ENSG00000124380	SNRNP27
ENSG00000184156	KCNQ3
ENSG00000274997	H2AC12
ENSG00000125870	SNRPB2
ENSG00000115271	GCA
ENSG00000170075	GPR37L1
ENSG00000169020	ATP5ME
ENSG00000100216	TOMM22
ENSG00000166848	TERF2IP
ENSG00000013619	MAMLD1
ENSG00000127325	BEST3
ENSG00000234745	HLA-B
ENSG00000171243	SOSTDC1
ENSG00000198417	MT1F
ENSG00000127743	IL17B
ENSG00000197965	MPZL1
ENSG00000126353	CCR7
ENSG00000084072	PPIE
ENSG00000116353	MECR
ENSG00000170260	ZNF212
ENSG00000187553	CYP26C1
ENSG00000156970	BUB1B
ENSG00000213614	HEXA
ENSG00000183347	GBP6
ENSG00000085511	MAP3K4
ENSG00000006788	MYH13
ENSG00000137509	PRCP
ENSG00000198001	IRAK4
ENSG00000126337	KRT36
ENSG00000141510	TP53
ENSG00000123999	INHA
ENSG00000102879	CORO1A
ENSG00000163898	LIPH
ENSG00000150753	CCT5
ENSG00000214013	GANC
ENSG00000182902	SLC25A18
ENSG00000205420	KRT6A
ENSG00000131711	MAP1B
ENSG00000166260	COX11
ENSG00000164919	COX6C
ENSG00000126217	MCF2L
ENSG00000120802	TMPO
ENSG00000109610	SOD3
ENSG00000262628	OR1D5
ENSG00000183914	DNAH2
ENSG00000168395	ING5
ENSG00000170579	DLGAP1
ENSG00000168229	PTGDR
ENSG00000183251	OR51B4
ENSG00000068885	IFT80
ENSG00000145012	LPP
ENSG00000115306	SPTBN1
ENSG00000196437	ZNF569
ENSG00000127585	FBXL16
ENSG00000188747	NOXA1
ENSG00000177476	OR2G3
ENSG00000094631	HDAC6
ENSG00000133124	IRS4
ENSG00000239474	KLHL41
ENSG00000162402	USP24
ENSG00000159200	RCAN1
ENSG00000119707	RBM25
ENSG00000177192	PUS1
ENSG00000146648	EGFR
ENSG00000075151	EIF4G3
ENSG00000164089	ETNPPL
ENSG00000124787	RPP40
ENSG00000155465	SLC7A7
ENSG00000166747	AP1G1
ENSG00000113262	GRM6
ENSG00000177830	CHID1
ENSG00000105516	DBP
ENSG00000273542	H4C12
ENSG00000073060	SCARB1
ENSG00000101004	NINL
ENSG00000176485	PLAAT3
ENSG00000134259	NGF
ENSG00000184956	MUC6
ENSG00000166888	STAT6
ENSG00000140396	NCOA2
ENSG00000008952	SEC62
ENSG00000091140	DLD
ENSG00000100554	ATP6V1D
ENSG00000204560	DHX16
ENSG00000229809	ZNF688
ENSG00000106268	NUDT1
ENSG00000187840	EIF4EBP1
ENSG00000075651	PLD1
ENSG00000185615	PDIA2
ENSG00000109323	MANBA
ENSG00000176244	ACBD7
ENSG00000068078	FGFR3
ENSG00000174799	CEP135
ENSG00000187514	PTMA
ENSG00000067369	TP53BP1
ENSG00000157827	FMNL2
ENSG00000186136	TAS2R42
ENSG00000205328	OR6C65
ENSG00000131067	GGT7
ENSG00000141194	OR4D1
ENSG00000160326	SLC2A6
ENSG00000240230	COX19
ENSG00000136002	ARHGEF4
ENSG00000128654	MTX2
ENSG00000076248	UNG
ENSG00000127863	TNFRSF19
ENSG00000223802	CERS1
ENSG00000198911	SREBF2
ENSG00000157851	DPYSL5
ENSG00000175463	TBC1D10C
ENSG00000092096	SLC22A17
ENSG00000171365	CLCN5
ENSG00000151418	ATP6V1G3
ENSG00000142677	IL22RA1
ENSG00000163251	FZD5
ENSG00000198925	ATG9A
ENSG00000105202	FBL
ENSG00000197849	OR8G1
ENSG00000100888	CHD8
ENSG00000203879	GDI1
ENSG00000185238	PRMT3
ENSG00000115216	NRBP1
ENSG00000164713	BRI3
ENSG00000154222	CC2D1B
ENSG00000111913	RIPOR2
ENSG00000116898	MRPS15
ENSG00000162302	RPS6KA4
ENSG00000141101	NOB1
ENSG00000125084	WNT1
ENSG00000117362	APH1A
ENSG00000185070	FLRT2
ENSG00000135454	B4GALNT1
ENSG00000196616	ADH1B
ENSG00000197444	OGDHL
ENSG00000173612	GPRC6A
ENSG00000141391	PRELID3A
ENSG00000102891	MT4
ENSG00000204178	MACO1
ENSG00000139515	PDX1
ENSG00000112511	PHF1
ENSG00000086967	MYBPC2
ENSG00000178562	CD28
ENSG00000176619	LMNB2
ENSG00000136630	HLX
ENSG00000171446	KRT27
ENSG00000167721	TSR1
ENSG00000211599	IGKV5-2
ENSG00000250506	CDK3
ENSG00000211679	IGLC3
ENSG00000165806	CASP7
ENSG00000158555	GDPD5
ENSG00000069018	TRPC7
ENSG00000116473	RAP1A
ENSG00000139625	MAP3K12
ENSG00000224051	CPTP
ENSG00000180638	SLC47A2
ENSG00000058063	ATP11B
ENSG00000031003	FAM13B
ENSG00000143365	RORC
ENSG00000171566	PLRG1
ENSG00000077044	DGKD
ENSG00000204310	AGPAT1
ENSG00000067596	DHX8
ENSG00000176299	OR4M1
ENSG00000058335	RASGRF1
ENSG00000134240	HMGCS2
ENSG00000153201	RANBP2
ENSG00000104863	LIN7B
ENSG00000163216	SPRR2D
ENSG00000176294	OR4N2
ENSG00000106459	NRF1
ENSG00000122728	TAF1L
ENSG00000169413	RNASE6
ENSG00000100811	YY1
ENSG00000172459	OR5AR1
ENSG00000183431	SF3A3
ENSG00000120800	UTP20
ENSG00000148843	PDCD11
ENSG00000132254	ARFIP2
ENSG00000004897	CDC27
ENSG00000215262	KCNU1
ENSG00000053501	USE1
ENSG00000074266	EED
ENSG00000105376	ICAM5
ENSG00000176383	B3GNT4
ENSG00000256269	HMBS
ENSG00000137309	HMGA1
ENSG00000100304	TTLL12
ENSG00000176928	GCNT4
ENSG00000113790	EHHADH
ENSG00000198729	PPP1R14C
ENSG00000070778	PTPN21
ENSG00000090932	DLL3
ENSG00000141551	CSNK1D
ENSG00000075429	CACNG5
ENSG00000186141	POLR3C
ENSG00000136936	XPA
ENSG00000180974	OR52E4
ENSG00000134007	ADAM20
ENSG00000204060	FOXO6
ENSG00000185303	SFTPA2
ENSG00000089154	GCN1
ENSG00000279012	OR51B2
ENSG00000135093	USP30
ENSG00000105141	CASP14
ENSG00000174564	IL20RB
ENSG00000112029	FBXO5
ENSG00000160679	CHTOP
ENSG00000205922	ONECUT3
ENSG00000122642	FKBP9
ENSG00000184584	STING1
ENSG00000172728	FUT10
ENSG00000147852	VLDLR
ENSG00000163932	PRKCD
ENSG00000105989	WNT2
ENSG00000081377	CDC14B
ENSG00000128918	ALDH1A2
ENSG00000093183	SEC22C
ENSG00000118217	ATF6
ENSG00000163430	FSTL1
ENSG00000006606	CCL26
ENSG00000130830	MPP1
ENSG00000078549	ADCYAP1R1
ENSG00000129103	SUMF2
ENSG00000077380	DYNC1I2
ENSG00000137841	PLCB2
ENSG00000160285	LSS
ENSG00000181965	NEUROG1
ENSG00000005243	COPZ2
ENSG00000095321	CRAT
ENSG00000103313	MEFV
ENSG00000189266	PNRC2
ENSG00000217128	FNIP1
ENSG00000130706	ADRM1
ENSG00000171759	PAH
ENSG00000055044	NOP58
ENSG00000088053	GP6
ENSG00000211454	AKR7L
ENSG00000169397	RNASE3
ENSG00000267508	ZNF285
ENSG00000110871	COQ5
ENSG00000163286	ALPG
ENSG00000107798	LIPA
ENSG00000143851	PTPN7
ENSG00000237388	OR4A47
ENSG00000143653	SCCPDH
ENSG00000110090	CPT1A
ENSG00000165269	AQP7
ENSG00000198754	OXCT2
ENSG00000149428	HYOU1
ENSG00000172543	CTSW
ENSG00000133138	TBC1D8B
ENSG00000065534	MYLK
ENSG00000175768	TOMM5
ENSG00000204209	DAXX
ENSG00000156218	ADAMTSL3
ENSG00000148341	SH3GLB2
ENSG00000254999	BRK1
ENSG00000147799	ARHGAP39
ENSG00000103496	STX4
ENSG00000134569	LRP4
ENSG00000126561	STAT5A
ENSG00000168280	KIF5C
ENSG00000122912	SLC25A16
ENSG00000170484	KRT74
ENSG00000136267	DGKB
ENSG00000171858	RPS21
ENSG00000032742	IFT88
ENSG00000162836	ACP6
ENSG00000196578	OR5AC2
ENSG00000110107	PRPF19
ENSG00000100678	SLC8A3
ENSG00000010319	SEMA3G
ENSG00000125148	MT2A
ENSG00000114739	ACVR2B
ENSG00000150961	SEC24D
ENSG00000137713	PPP2R1B
ENSG00000131480	AOC2
ENSG00000134146	DPH6
ENSG00000039068	CDH1
ENSG00000140740	UQCRC2
ENSG00000145908	ZNF300
ENSG00000074527	NTN4
ENSG00000147234	FRMPD3
ENSG00000187325	TAF9B
ENSG00000069696	DRD4
ENSG00000174837	ADGRE1
ENSG00000178772	CPN2
ENSG00000074582	BCS1L
ENSG00000126777	KTN1
ENSG00000106399	RPA3
ENSG00000235780	USP17L27
