strand	strat	chr	gene_name	gene_id	end	gene_type
+	923923	1	SAMD11	ENSG00000187634	944575	protein_coding
-	944203	1	NOC2L	ENSG00000188976	959309	protein_coding
+	960584	1	KLHL17	ENSG00000187961	965719	protein_coding
+	966482	1	PLEKHN1	ENSG00000187583	975865	protein_coding
-	975204	1	PERM1	ENSG00000187642	982093	protein_coding
-	995966	1	AL645608.7	ENSG00000272512	998051	lncRNA
-	998962	1	HES4	ENSG00000188290	1000172	protein_coding
+	1001138	1	ISG15	ENSG00000187608	1014540	protein_coding
-	1008076	1	AL645608.3	ENSG00000231702	1008229	processed_pseudogene
-	1011997	1	AL645608.1	ENSG00000224969	1013193	lncRNA
+	1020120	1	AGRN	ENSG00000188157	1056118	protein_coding
+	1055033	1	AL645608.5	ENSG00000242590	1056116	lncRNA
+	1059708	1	AL390719.1	ENSG00000217801	1069355	transcribed_unprocessed_pseudogene
-	1062208	1	AL645608.8	ENSG00000273443	1063288	lncRNA
-	1070967	1	RNF223	ENSG00000237330	1074306	protein_coding
-	1081818	1	C1orf159	ENSG00000131591	1116361	protein_coding
+	1097585	1	AL390719.3	ENSG00000285812	1104598	lncRNA
+	1137017	1	LINC01342	ENSG00000223823	1144056	lncRNA
+	1167104	1	MIR200B	ENSG00000207730	1167198	miRNA
+	1167863	1	MIR200A	ENSG00000207607	1167952	miRNA
+	1169005	1	MIR429	ENSG00000198976	1169087	miRNA
+	1169357	1	AL390719.2	ENSG00000272141	1170343	lncRNA
-	1173056	1	TTLL10-AS1	ENSG00000205231	1179555	lncRNA
+	1173880	1	TTLL10	ENSG00000162571	1197936	protein_coding
-	1203508	1	TNFRSF18	ENSG00000186891	1206592	protein_coding
-	1211340	1	TNFRSF4	ENSG00000186827	1214153	protein_coding
-	1216909	1	SDF4	ENSG00000078808	1232067	protein_coding
+	1232237	1	B3GALT6	ENSG00000176022	1235041	protein_coding
-	1242446	1	C1QTNF12	ENSG00000184163	1246722	protein_coding
-	1249777	1	AL162741.1	ENSG00000260179	1251334	lncRNA
-	1253909	1	UBE2J2	ENSG00000160087	1273864	protein_coding
+	1275223	1	LINC01786	ENSG00000230415	1280420	lncRNA
+	1280436	1	SCNN1D	ENSG00000162572	1292029	protein_coding
-	1292390	1	ACAP3	ENSG00000131584	1309609	protein_coding
-	1296110	1	MIR6726	ENSG00000278073	1296170	miRNA
+	1308597	1	PUSL1	ENSG00000169972	1311677	protein_coding
-	1311585	1	INTS11	ENSG00000127054	1324687	protein_coding
-	1312502	1	MIR6727	ENSG00000283712	1312566	miRNA
-	1317581	1	AL139287.1	ENSG00000240731	1318689	lncRNA
+	1324756	1	CPTP	ENSG00000224051	1328896	protein_coding
+	1331280	1	TAS1R3	ENSG00000169962	1335314	protein_coding
-	1335276	1	DVL1	ENSG00000107404	1349418	protein_coding
-	1339650	1	MIR6808	ENSG00000284372	1339708	miRNA
-	1352689	1	MXRA8	ENSG00000162576	1361777	protein_coding
-	1373730	1	AURKAIP1	ENSG00000175756	1375495	protein_coding
+	1378666	1	NDUFB4P8	ENSG00000223663	1379032	processed_pseudogene
-	1385711	1	CCNL2	ENSG00000221978	1399335	protein_coding
+	1399520	1	MRPL20-AS1	ENSG00000224870	1402046	lncRNA
-	1401909	1	MRPL20	ENSG00000242485	1407293	protein_coding
-	1405460	1	RN7SL657P	ENSG00000264293	1405752	misc_RNA
+	1409096	1	MRPL20-DT	ENSG00000272455	1410618	lncRNA
-	1418420	1	ANKRD65	ENSG00000235098	1421769	protein_coding
+	1420245	1	AL391244.1	ENSG00000225905	1422691	lncRNA
+	1426128	1	TMEM88B	ENSG00000205116	1427787	protein_coding
-	1430539	1	LINC01770	ENSG00000225285	1434573	lncRNA
+	1434861	1	VWA1	ENSG00000179403	1442882	protein_coding
+	1449689	1	ATAD3C	ENSG00000215915	1470163	protein_coding
+	1471765	1	ATAD3B	ENSG00000160072	1497848	protein_coding
+	1503250	1	AL645728.2	ENSG00000284740	1509452	transcribed_unprocessed_pseudogene
+	1512162	1	ATAD3A	ENSG00000197785	1534685	protein_coding
-	1534778	1	TMEM240	ENSG00000205090	1540624	protein_coding
-	1541673	1	SSU72	ENSG00000160075	1574863	protein_coding
+	1574102	1	AL645728.1	ENSG00000215014	1577075	lncRNA
-	1583510	1	AL691432.3	ENSG00000274481	1583909	processed_pseudogene
-	1598012	1	FNDC10	ENSG00000228594	1600135	protein_coding
+	1600314	1	AL691432.4	ENSG00000286989	1602703	lncRNA
-	1613758	1	AL691432.2	ENSG00000272106	1615795	lncRNA
+	1615415	1	MIB2	ENSG00000197530	1630610	protein_coding
+	1632163	1	MMP23B	ENSG00000189409	1635263	protein_coding
-	1635225	1	CDK11B	ENSG00000248333	1659012	protein_coding
+	1659325	1	FO704657.1	ENSG00000272004	1662602	lncRNA
-	1659529	1	SLC35E2B	ENSG00000189339	1692795	protein_coding
+	1671990	1	AL691432.1	ENSG00000269737	1674397	transcribed_processed_pseudogene
+	1699942	1	MMP23A	ENSG00000215914	1701782	unprocessed_pseudogene
-	1702379	1	CDK11A	ENSG00000008128	1724357	protein_coding
-	1702736	1	AL031282.2	ENSG00000268575	1737688	lncRNA
+	1724512	1	AL031282.1	ENSG00000227775	1737251	transcribed_processed_pseudogene
-	1724838	1	SLC35E2A	ENSG00000215790	1745992	transcribed_unprocessed_pseudogene
-	1751232	1	NADK	ENSG00000008130	1780457	protein_coding
-	1785285	1	GNB1	ENSG00000078369	1891117	protein_coding
+	1891471	1	AL109917.1	ENSG00000231050	1892658	lncRNA
+	1915108	1	CALML6	ENSG00000169885	1917296	protein_coding
-	1917590	1	TMEM52	ENSG00000178821	1919279	protein_coding
-	1921951	1	CFAP74	ENSG00000142609	2003837	protein_coding
-	2013213	1	AL391845.2	ENSG00000233542	2015639	lncRNA
+	2019329	1	GABRD	ENSG00000187730	2030758	protein_coding
-	2049203	1	AL391845.1	ENSG00000226969	2050070	lncRNA
+	2050411	1	PRKCZ	ENSG00000067606	2185395	protein_coding
-	2141084	1	AL590822.2	ENSG00000271806	2145279	lncRNA
-	2181794	1	PRKCZ-AS1	ENSG00000182873	2184389	lncRNA
-	2184461	1	FAAP20	ENSG00000162585	2212720	protein_coding
+	2212523	1	AL590822.1	ENSG00000234396	2220738	lncRNA
+	2228319	1	SKI	ENSG00000157933	2310213	protein_coding
+	2315040	1	AL590822.3	ENSG00000287356	2323085	lncRNA
-	2321253	1	MORN1	ENSG00000116151	2391707	protein_coding
-	2326201	1	AL589739.1	ENSG00000272161	2326693	lncRNA
-	2350414	1	AL513477.1	ENSG00000269896	2352820	transcribed_processed_pseudogene
-	2363061	1	AL513477.2	ENSG00000272420	2363628	lncRNA
+	2391775	1	RER1	ENSG00000157916	2405442	protein_coding
-	2403964	1	PEX10	ENSG00000157911	2413797	protein_coding
+	2425980	1	PLCH2	ENSG00000149527	2505532	protein_coding
-	2492300	1	AL139246.1	ENSG00000224387	2493258	lncRNA
-	2493437	1	AL139246.4	ENSG00000229393	2494479	lncRNA
-	2508537	1	PANK4	ENSG00000157881	2526597	protein_coding
-	2528745	1	HES5	ENSG00000197921	2530263	protein_coding
+	2530064	1	AL139246.5	ENSG00000272449	2547460	lncRNA
-	2549920	1	TNFRSF14-AS1	ENSG00000238164	2557031	lncRNA
+	2555639	1	TNFRSF14	ENSG00000157873	2565382	protein_coding
+	2566410	1	AL139246.2	ENSG00000225931	2569888	TEC
+	2581560	1	AL139246.3	ENSG00000228037	2584533	lncRNA
+	2586491	1	PRXL2B	ENSG00000157870	2591469	protein_coding
-	2590639	1	MMEL1	ENSG00000142606	2633016	protein_coding
+	2632568	1	MMEL1-AS1	ENSG00000237058	2636620	lncRNA
-	2635976	1	TTC34	ENSG00000215912	2801717	protein_coding
+	2768091	1	AC242022.2	ENSG00000285945	2784733	lncRNA
+	2773603	1	AC242022.1	ENSG00000283259	2776473	lncRNA
-	2811850	1	AL592464.2	ENSG00000233234	2812692	lncRNA
+	2814056	1	AL592464.3	ENSG00000287396	2817767	lncRNA
-	2814432	1	AL592464.1	ENSG00000231630	2814998	lncRNA
-	2960658	1	AL589702.1	ENSG00000284745	2968707	lncRNA
+	3021467	1	ACTRT2	ENSG00000169717	3022903	protein_coding
-	3059615	1	PRDM16-DT	ENSG00000177133	3068437	lncRNA
+	3069168	1	PRDM16	ENSG00000142611	3438621	protein_coding
+	3127975	1	MIR4251	ENSG00000283572	3128035	miRNA
-	3132927	1	AL008733.1	ENSG00000226286	3133709	lncRNA
+	3205988	1	AL512383.1	ENSG00000279839	3208664	TEC
-	3306636	1	AL590438.1	ENSG00000272235	3310096	lncRNA
-	3313052	1	AL354743.2	ENSG00000287828	3323149	lncRNA
-	3367815	1	AL354743.1	ENSG00000286518	3373928	lncRNA
+	3454665	1	ARHGEF16	ENSG00000130762	3481113	protein_coding
+	3487246	1	AL512413.1	ENSG00000272088	3487627	lncRNA
-	3487951	1	MEGF6	ENSG00000162591	3611508	protein_coding
-	3560695	1	MIR551A	ENSG00000207776	3560790	miRNA
-	3623190	1	AL513320.1	ENSG00000238260	3624743	lncRNA
+	3625015	1	TPRG1L	ENSG00000158109	3630127	protein_coding
-	3630767	1	WRAP73	ENSG00000116213	3652761	protein_coding
+	3652516	1	TP73	ENSG00000078900	3736201	protein_coding
-	3658938	1	TP73-AS3	ENSG00000227589	3668772	lncRNA
-	3712200	1	TP73-AS2	ENSG00000235131	3714298	lncRNA
-	3735511	1	TP73-AS1	ENSG00000227372	3747373	transcribed_unitary_pseudogene
+	3736943	1	AL136528.1	ENSG00000276189	3737103	misc_RNA
+	3746460	1	CCDC27	ENSG00000162592	3771645	protein_coding
+	3772749	1	SMIM1	ENSG00000235169	3775982	protein_coding
-	3778559	1	LRRC47	ENSG00000130764	3796498	protein_coding
+	3782815	1	RN7SL574P	ENSG00000266075	3783111	misc_RNA
+	3785008	1	AL365330.1	ENSG00000272153	3785538	lncRNA
-	3812086	1	CEP104	ENSG00000116198	3857396	protein_coding
+	3857267	1	DFFB	ENSG00000169598	3885429	protein_coding
-	3889125	1	C1orf174	ENSG00000198912	3900293	protein_coding
+	3900352	1	LINC01134	ENSG00000236423	3917225	lncRNA
+	3940486	1	LINC01346	ENSG00000233304	3955262	lncRNA
-	3944547	1	LINC01345	ENSG00000226374	3949024	lncRNA
+	3976133	1	LINC02780	ENSG00000284668	4012704	lncRNA
-	4012921	1	AL805961.1	ENSG00000284703	4019508	lncRNA
-	4175528	1	EEF1DP6	ENSG00000229280	4175899	processed_pseudogene
+	4412027	1	LINC01777	ENSG00000235054	4424689	lncRNA
-	4479131	1	AL355602.1	ENSG00000284694	4484375	lncRNA
-	4551735	1	Z98747.1	ENSG00000227169	4552145	lncRNA
+	4571481	1	LINC01646	ENSG00000232596	4594016	lncRNA
+	4654609	1	AJAP1	ENSG00000196581	4792534	protein_coding
-	4730211	1	Z98886.1	ENSG00000287586	4734992	lncRNA
-	4963954	1	BX005132.1	ENSG00000284739	4973298	lncRNA
+	4973381	1	LINC02781	ENSG00000284674	4981568	lncRNA
-	5086459	1	LINC02782	ENSG00000231510	5090899	lncRNA
-	5301928	1	AL139823.1	ENSG00000284616	5307394	lncRNA
-	5478736	1	Z98259.3	ENSG00000284692	5493057	lncRNA
-	5480787	1	Z98259.2	ENSG00000284666	5482028	lncRNA
+	5492978	1	Z98259.1	ENSG00000260972	5494674	lncRNA
+	5554747	1	Z97988.2	ENSG00000283356	5554881	unprocessed_pseudogene
-	5561709	1	AL365255.1	ENSG00000236948	5668295	lncRNA
+	5564071	1	Z97988.1	ENSG00000264341	5564143	miRNA
-	5862672	1	MIR4689	ENSG00000264101	5862741	miRNA
-	5862811	1	NPHP4	ENSG00000131697	5992473	protein_coding
+	5990927	1	KCNAB2	ENSG00000069424	6101193	protein_coding
-	6101787	1	CHD5	ENSG00000116254	6180321	protein_coding
-	6159430	1	AL031847.1	ENSG00000285629	6197757	protein_coding
-	6185020	1	RPL22	ENSG00000116251	6209389	protein_coding
-	6204840	1	RNF207-AS1	ENSG00000226944	6205780	lncRNA
+	6205475	1	RNF207	ENSG00000158286	6221299	protein_coding
-	6221193	1	ICMT	ENSG00000116237	6235972	protein_coding
+	6234692	1	LINC00337	ENSG00000225077	6239444	lncRNA
+	6244179	1	HES3	ENSG00000173673	6245578	protein_coding
-	6247353	1	GPR153	ENSG00000158292	6261098	protein_coding
-	6264269	1	ACOT7	ENSG00000097021	6393767	protein_coding
+	6393555	1	AL031848.2	ENSG00000271746	6394391	lncRNA
-	6412418	1	HES2	ENSG00000069812	6424670	protein_coding
+	6424776	1	ESPN	ENSG00000187017	6461367	protein_coding
-	6429834	1	MIR4252	ENSG00000265392	6429896	miRNA
-	6443034	1	AL031848.1	ENSG00000231868	6447006	lncRNA
-	6460786	1	TNFRSF25	ENSG00000215788	6466175	protein_coding
-	6467122	1	PLEKHG5	ENSG00000171680	6520074	protein_coding
-	6521347	1	NOL9	ENSG00000162408	6554513	protein_coding
+	6540854	1	RNU6-731P	ENSG00000253022	6540964	snRNA
+	6547905	1	AL591866.1	ENSG00000229519	6548619	processed_pseudogene
+	6555307	1	TAS1R1	ENSG00000173662	6579755	protein_coding
+	6579994	1	ZBTB48	ENSG00000204859	6589280	protein_coding
-	6590724	1	KLHL21	ENSG00000162413	6614607	protein_coding
+	6613731	1	PHF13	ENSG00000116273	6624030	protein_coding
+	6624866	1	THAP3	ENSG00000041988	6635586	protein_coding
-	6634168	1	DNAJC11	ENSG00000007923	6701924	protein_coding
+	6724637	1	LINC01672	ENSG00000228750	6730012	lncRNA
+	6767954	1	AL591163.1	ENSG00000284744	6770038	lncRNA
-	6783892	1	CAMTA1-DT	ENSG00000237436	6784843	lncRNA
+	6785454	1	CAMTA1	ENSG00000171735	7769706	protein_coding
-	6834333	1	AL590128.1	ENSG00000227950	6834618	processed_pseudogene
-	7008376	1	AL512330.1	ENSG00000237365	7014279	lncRNA
+	7219360	1	RNU1-8P	ENSG00000207056	7219524	snRNA
+	7368942	1	CAMTA1-IT1	ENSG00000237402	7370270	lncRNA
-	7382487	1	CAMTA1-AS2	ENSG00000237728	7389754	lncRNA
-	7441096	1	CAMTA1-AS1	ENSG00000225126	7441554	lncRNA
-	7693124	1	AL359881.3	ENSG00000270171	7694844	lncRNA
-	7698303	1	AL359881.2	ENSG00000270035	7698872	lncRNA
-	7700704	1	AL359881.1	ENSG00000269978	7700970	lncRNA
+	7771296	1	VAMP3	ENSG00000049245	7781432	protein_coding
+	7776383	1	Z98884.2	ENSG00000269925	7776775	lncRNA
+	7784320	1	PER3	ENSG00000049246	7845177	protein_coding
-	7810242	1	Z98884.1	ENSG00000236266	7827342	lncRNA
-	7843083	1	UTS2	ENSG00000049247	7853512	protein_coding
-	7915871	1	TNFRSF9	ENSG00000049249	7943165	protein_coding
+	7942372	1	AL009183.1	ENSG00000270330	7942726	processed_pseudogene
+	7954291	1	PARK7	ENSG00000116288	7985505	protein_coding
+	7991134	1	AL034417.4	ENSG00000284747	8005312	lncRNA
-	7998187	1	AL034417.3	ENSG00000284716	7999934	lncRNA
-	8004404	1	ERRFI1	ENSG00000116285	8026309	protein_coding
+	8026738	1	AL034417.2	ENSG00000238290	8122702	lncRNA
-	8057245	1	AL034417.1	ENSG00000232848	8058463	processed_pseudogene
+	8189824	1	AL358876.1	ENSG00000229305	8192770	processed_pseudogene
+	8201518	1	LINC01714	ENSG00000227634	8215210	lncRNA
-	8206434	1	RNU1-7P	ENSG00000200975	8206597	snRNA
-	8218190	1	AL358876.2	ENSG00000233645	8220529	lncRNA
-	8292157	1	RNU6-991P	ENSG00000251977	8292263	snRNA
+	8318114	1	SLC45A1	ENSG00000162426	8344167	protein_coding
-	8352397	1	RERE	ENSG00000142599	8848921	protein_coding
+	8424645	1	RERE-AS1	ENSG00000232912	8435013	lncRNA
-	8511795	1	AL096855.1	ENSG00000221083	8511919	snoRNA
+	8512653	1	AL096855.2	ENSG00000270282	8513021	processed_pseudogene
+	8750430	1	RPL7P11	ENSG00000234619	8751087	processed_pseudogene
-	8786211	1	RPL7P7	ENSG00000224315	8786913	processed_pseudogene
+	8798475	1	AL357552.1	ENSG00000226545	8799506	unprocessed_pseudogene
-	8805860	1	AL357552.2	ENSG00000228423	8807051	lncRNA
+	8831007	1	RPL23AP19	ENSG00000229716	8831375	processed_pseudogene
-	8861000	1	ENO1	ENSG00000074800	8879190	protein_coding
-	8866502	1	MIR6728	ENSG00000274258	8866590	miRNA
+	8878835	1	ENO1-AS1	ENSG00000230679	8879894	lncRNA
-	8883427	1	RNU6-304P	ENSG00000201725	8883533	snRNA
+	8893409	1	HMGN2P17	ENSG00000238249	8894151	processed_pseudogene
-	8907393	1	AL139415.1	ENSG00000232208	8907744	processed_pseudogene
+	8909742	1	AL139415.2	ENSG00000232663	8909904	processed_pseudogene
+	8945867	1	CA6	ENSG00000131686	8975092	protein_coding
-	8979576	1	RN7SL451P	ENSG00000265141	8979874	misc_RNA
-	9003300	1	SLC2A7	ENSG00000197241	9026345	protein_coding
-	9035106	1	SLC2A5	ENSG00000142583	9088478	protein_coding
+	9082696	1	AL158048.1	ENSG00000252404	9082879	scaRNA
-	9100305	1	GPR157	ENSG00000180758	9129102	protein_coding
-	9148011	1	MIR34AHG	ENSG00000228526	9198906	lncRNA
-	9151668	1	MIR34A	ENSG00000284357	9151777	miRNA
+	9182004	1	LNCTAM34A	ENSG00000234546	9196284	lncRNA
+	9234774	1	H6PD	ENSG00000049239	9271337	protein_coding
+	9292894	1	SPSB1	ENSG00000171621	9369532	protein_coding
-	9421098	1	BX323043.1	ENSG00000284652	9422862	lncRNA
-	9425094	1	LINC02606	ENSG00000284693	9440564	lncRNA
-	9437669	1	RNA5SP40	ENSG00000252956	9437778	rRNA_pseudogene
-	9501092	1	AL928921.1	ENSG00000235263	9503471	lncRNA
+	9539465	1	SLC25A33	ENSG00000171612	9585173	protein_coding
+	9576427	1	AL954705.1	ENSG00000231181	9576985	processed_pseudogene
+	9588911	1	TMEM201	ENSG00000188807	9614877	protein_coding
+	9651731	1	PIK3CD	ENSG00000171608	9729114	protein_coding
-	9652610	1	PIK3CD-AS1	ENSG00000179840	9654586	lncRNA
-	9660828	1	AL691449.1	ENSG00000233268	9662626	processed_pseudogene
-	9672426	1	PIK3CD-AS2	ENSG00000231789	9687555	lncRNA
-	9728926	1	CLSTN1	ENSG00000171603	9823984	protein_coding
+	9780822	1	MZT1P1	ENSG00000271264	9781240	processed_pseudogene
-	9826289	1	AL357140.3	ENSG00000280113	9828271	TEC
-	9848276	1	CTNNBIP1	ENSG00000178585	9910336	protein_coding
+	9848318	1	AL357140.1	ENSG00000223989	9850154	lncRNA
+	9900614	1	AL357140.4	ENSG00000285701	9908034	lncRNA
-	9922113	1	LZIC	ENSG00000162441	9943407	protein_coding
+	9942923	1	AL357140.2	ENSG00000228150	9949974	lncRNA
+	9943428	1	NMNAT1	ENSG00000173614	9985501	protein_coding
+	9947318	1	RN7SKP269	ENSG00000202415	9947636	misc_RNA
-	9950572	1	TMEM274P	ENSG00000283611	9960787	unitary_pseudogene
+	9967381	1	MIR5697	ENSG00000265521	9967458	miRNA
+	9983141	1	AL603962.1	ENSG00000241326	9984568	lncRNA
+	9997206	1	RBP7	ENSG00000162444	10016021	protein_coding
+	10032832	1	UBE4B	ENSG00000130939	10181239	protein_coding
-	10054445	1	AL590639.1	ENSG00000224340	10054781	processed_pseudogene
+	10058671	1	PGAM1P11	ENSG00000233623	10059648	processed_pseudogene
